fen,cp
rnbqkb2/pp1p1pp1/2p2n1r/4p2p/2P2P2/P6P/1P1PP1PR/RNBQKBN1 w Qq - 1 6,38
rnbqkb2/pp1p1pp1/2p2n1r/4p2p/2P2P1P/P7/1P1PP1PR/RNBQKBN1 b Qq - 0 6,229
rnbqkb2/1p1p1pp1/p1p2n1r/4p2p/2P2P1P/P7/1P1PP1PR/RNBQKBN1 w Qq - 0 7,-143
rnbqkb2/1p1p1pp1/p1p2n1r/4p2p/2P2P1P/P4N2/1P1PP1PR/RNBQKB2 b Qq - 1 7,167
rnbqkb2/1p1p1pp1/p1p2n1r/7p/2P2p1P/P4N2/1P1PP1PR/RNBQKB2 w Qq - 0 8,-166
rnbqkb2/1p1p1pp1/p1p2n1r/6Np/2P2p1P/P7/1P1PP1PR/RNBQKB2 b Qq - 1 8,257
rnb1kb2/1pqp1pp1/p1p2n1r/6Np/2P2p1P/P7/1P1PP1PR/RNBQKB2 w Qq - 2 9,-227
rnb1kb2/1pqp1pp1/p1p2n1r/6Np/2P2p1P/P7/1P1PPKPR/RNBQ1B2 b q - 3 9,289
rnbqkb2/1p1p1pp1/p1p2n1r/7p/2P1Np1P/P7/1P1PPKPR/RNBQ1B2 b q - 5 10,532
rnbqk3/1p1p1pp1/p1p2n1r/2b4p/2P1Np1P/P7/1P1PPKPR/RNBQ1B2 w q - 6 11,-139
rnbqk3/1p1p1pp1/p1p2n1r/2b4p/2P1Np1P/P7/1P1PP1PR/RNBQKB2 b q - 7 11,545
rnbq4/1p1pkpp1/p1p4r/2bn3p/2P2p1P/P5N1/1P1PP1PR/RNBQKB2 w - - 10 13,233
rnbq4/1p1pkpp1/p1p4r/2bP3p/5p1P/P5N1/1P1PP1PR/RNBQKB2 b - - 0 13,477
rnb4q/1p1pkpp1/p1p4r/2bP3p/5p1P/P5N1/1P1PP1PR/RNBQKB2 w - - 1 14,396
rnb4q/1p1pkpp1/p1p4r/2bP3p/P4p1P/6N1/1P1PP1PR/RNBQKB2 b - - 0 14,535
rnb1k2q/1p1p1p2/p1p4r/2bP2pp/P3Np1P/1Q6/1P1PP1PR/RNB1KB2 b - - 1 16,-364
rnb4q/1p1pkp2/p1pr4/3P2pp/P2b1p1P/6NQ/1P1PP1PR/RNB1KB2 w - - 6 19,470
rnb4q/1p1pkp2/p1prQ3/3P2pp/P2b1p1P/6N1/1P1PP1PR/RNB1KB2 b - - 7 19,694
rnb4q/1p2kp2/p1prp3/3P2pp/P2b1p1P/6N1/1P1PP1PR/RNB1KB2 w - - 0 20,-626
rnb4q/1p3p2/p1prpk2/P2P2pp/3b1p1P/1P4N1/3PP1PR/RNB1KB2 b - - 0 21,734
rnb4q/1p2kp2/p1prp3/P2P2pN/3b3P/1P6/R2Pp1PR/1NB1KB2 w - - 0 24,-522
rnb4q/1p2kp2/p1prp3/P2P2pN/3b3P/1PN5/R2Pp1PR/2B1KB2 b - - 1 24,778
rnb4q/1p2kp2/p1prp3/P2P3N/3b3p/1PN5/R2Pp1PR/2B1KB2 w - - 0 25,-510
rnb4q/1p2kp2/p1prp3/P2P3N/3b3p/1PN5/1R1Pp1PR/2B1KB2 b - - 1 25,845
rnb4q/1p2kp2/p1prp3/P2P3N/7p/1PN5/1R1Pp1PR/2B1KBb1 w - - 2 26,-555
rnb4q/1p2kp2/p1prp3/P2P3N/1P5p/2N5/1R1Pp1PR/2B1KBb1 b - - 0 26,718
rnb4q/1p2kp2/pbprp3/P2P3N/1P5p/2N5/1R1Pp1PR/2B1KB2 w - - 1 27,-430
rnb5/1p2kpq1/pbprp3/P2P3N/1P5p/2N5/1R1PK1PR/2B2B2 w - - 1 28,230
rnb5/1p2kpq1/pbprp3/P2P3N/1P5p/8/1R1PK1PR/2BN1B2 b - - 2 28,585
rnb5/1p2kpq1/p1prp3/b2P3N/1P5p/8/1R1PK1PR/2BN1B2 w - - 0 29,200
rnb5/1p2kpq1/p1prp3/b2P3N/1P5p/7R/1R1PK1P1/2BN1B2 b - - 1 29,519
rnb5/1p2kp2/p1prp3/b2P3N/1P1q3p/7R/1R1PK1P1/2BN1B2 w - - 2 30,-477
rnb5/1p2kp2/p1prp3/b2P3N/1P1q3p/7R/1R1PKNP1/2B2B2 b - - 3 30,592
