fen,cp
rnbqkb1r/ppp2ppp/3p3n/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 1 4,137
rnbqkb1r/ppp2ppp/3p3n/4P3/8/6P1/PPP1PP1P/RNBQKBNR b KQkq - 0 4,-70
r1bqkb1r/ppp2ppp/2np3n/4P3/8/6P1/PPP1PP1P/RNBQKBNR w KQkq - 1 5,128
r2qkb1r/pppb1ppp/3p3n/n3P3/8/3Q2PN/PPPNPP1P/R1B1KB1R b KQkq - 6 7,3
r2qkb1r/pppb1ppp/3p3n/4P3/2n2N2/3Q2P1/PPPNPP1P/R1B1KB1R b KQkq - 8 8,-50
r2qkb1r/pppb1ppp/3p3n/4P3/5N2/n2Q2P1/PPPNPP1P/R1B1KB1R w KQkq - 9 9,380
r2qkb1r/pppb1ppp/3p2Qn/4P3/5N2/n5P1/PPPNPP1P/R1B1KB1R b KQkq - 10 9,622
r3kb1r/pppb1ppp/3pq1Qn/4P3/5N2/n4NP1/PPP1PP1P/R1B1KB1R w KQkq - 13 11,434
r3kb1r/pp1b1ppp/2pp2qn/4PQ2/5N2/n4NP1/PPP1PP1P/R1B1KB1R w KQkq - 2 13,469
r3kQnr/pp1b1pp1/2pp2qp/5Q2/5N2/n4NP1/PPP1PP1P/R1B1KB1R b KQkq - 0 15,-879
r4knr/pp1b1pp1/2pp3p/5Qq1/5N2/n4NPB/PPP1PP1P/R1B2K1R w - - 4 18,783
r4knr/pp1b1pp1/2pp3p/4Q3/5N1q/n4NPB/PPP1PP1P/R1B3KR b - - 7 19,-277
r4knr/pp1b1pp1/2pp4/4Q2p/5N1q/n4NPB/PPP1PP1P/R1B3KR w - - 0 20,762
r4kr1/pp3pp1/2BpQ2n/7p/5N2/n4NP1/PPP1PP1P/R1B2K1R w - - 1 24,9999
r4kr1/pp3pp1/2BpQ2n/7p/5N2/n3BNP1/PPP1PP1P/R4K1R b - - 2 24,-823
4rkr1/pp4p1/2Bpp2n/7p/5N2/n4NP1/PPP1PP1P/R1B2K1R w - - 2 26,822
4rkr1/pB4p1/3pp2n/7p/5N2/n4NP1/PPP1PP1P/R1B2K1R b - - 0 26,-708
4rk1r/pB4p1/3pp2n/1n5p/P3PN2/5NP1/1PP2P1P/R1B2K1R b - - 0 28,-862
