fen,cp
r1bqkbnr/pp1ppppp/n7/2p5/5P2/8/PPPPP1PP/RNBQKBNR b KQkq - 1 3,44
r1bqkbnr/pp1pp1pp/n4p2/2p5/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 4,46
r1bqkbnr/pp1pp1pp/n4p2/2p5/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 4,-43
r1bqkb1r/pp1pp1pp/n4p1n/2p5/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 1 5,55
r1bqkb1r/pp1pp1pp/B4p1n/2p5/4PP2/8/PPPP2PP/RNBQK1NR b KQkq - 0 5,-56
r1bqkb1r/p2pp1pp/p4p1n/2p5/4PP2/8/PPPP2PP/RNBQK1NR w KQkq - 0 6,55
r1bqkb1r/p2ppnpp/p4p2/2p4Q/4PP2/8/PPPP2PP/RNB1K1NR w KQkq - 2 7,52
r1bqkb1r/p2ppnpp/p4p2/2pQ4/4PP2/8/PPPP2PP/RNB1K1NR b KQkq - 3 7,8
1rbqkb1r/p2ppnpp/p4p2/2pQ4/4PP2/8/PPPP2PP/RNB1K1NR w KQk - 4 8,-6
1rbqkb1r/p2ppnpp/p4p2/2pQ4/4PP2/1P6/P1PP2PP/RNB1K1NR b KQk - 0 8,71
1rbqkb1r/p2p1npp/p3pp2/2pQ4/4PP2/1P6/P1PP2PP/RNB1K1NR w KQk - 0 9,-68
1rbqkb1r/p2p1npp/p3pp2/2p5/4PP2/1P1Q4/P1PP2PP/RNB1K1NR b KQk - 1 9,67
1rbqkb1r/p4npp/p3pp2/2pp4/4PP2/1P1Q4/P1PP2PP/RNB1K1NR w KQk - 0 10,-64
1rbqkb1r/p4npp/p3pp2/2pp4/4PP2/1PNQ4/P1PP2PP/R1B1K1NR b KQk - 1 10,64
1rb1kb1r/p3qnpp/p3pp2/2pp4/4PP2/1PNQ4/P1PP2PP/R1B1K1NR w KQk - 2 11,36
1rb1kb1r/p3qnpp/p3pp2/2pp4/4PP2/1PNQ1N2/P1PP2PP/R1B1K2R b KQk - 3 11,9
1rb1kb1r/p3qnpp/4pp2/p1pp4/4PP2/1PNQ1N2/P1PP2PP/R1B1K2R w KQk - 0 12,203
1rb1kb1r/p3qnpp/4pp2/p1pp4/4PP2/BPNQ1N2/P1PP2PP/R3K2R b KQk - 1 12,0
1rb1kb1r/p1q2npp/4pp2/p1pp4/4PP2/BPNQ1N2/P1PP2PP/R3K2R w KQk - 2 13,1
1rb1kb1r/p1q2npp/4pp2/p1pP4/5P2/BPNQ1N2/P1PP2PP/R3K2R b KQk - 0 13,63
1rb1kb1r/p4npp/4pp2/p1pP4/5q2/BPNQ1N2/P1PP2PP/R3K2R w KQk - 0 14,198
