fen,cp
r1bqkbnr/pp1ppppp/n7/2p5/5P2/8/PPPPP1PP/RNBQKBNR b KQkq - 1 3,43
r1bqkbnr/pp1pp1pp/n4p2/2p5/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 4,55
r1bqkbnr/pp1pp1pp/n4p2/2p5/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 4,-48
r1bqkb1r/pp1pp1pp/n4p1n/2p5/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 1 5,54
r1bqkb1r/pp1pp1pp/B4p1n/2p5/4PP2/8/PPPP2PP/RNBQK1NR b KQkq - 0 5,-67
r1bqkb1r/p2pp1pp/p4p1n/2p5/4PP2/8/PPPP2PP/RNBQK1NR w KQkq - 0 6,58
r1bqkb1r/p2ppnpp/p4p2/2p4Q/4PP2/8/PPPP2PP/RNB1K1NR w KQkq - 2 7,61
r1bqkb1r/p2ppnpp/p4p2/2pQ4/4PP2/8/PPPP2PP/RNB1K1NR b KQkq - 3 7,9
1rbqkb1r/p2ppnpp/p4p2/2pQ4/4PP2/8/PPPP2PP/RNB1K1NR w KQk - 4 8,2
1rbqkb1r/p2ppnpp/p4p2/2pQ4/4PP2/1P6/P1PP2PP/RNB1K1NR b KQk - 0 8,60
1rbqkb1r/p2p1npp/p3pp2/2pQ4/4PP2/1P6/P1PP2PP/RNB1K1NR w KQk - 0 9,-62
1rbqkb1r/p2p1npp/p3pp2/2p5/4PP2/1P1Q4/P1PP2PP/RNB1K1NR b KQk - 1 9,62
1rbqkb1r/p4npp/p3pp2/2pp4/4PP2/1P1Q4/P1PP2PP/RNB1K1NR w KQk - 0 10,-66
1rbqkb1r/p4npp/p3pp2/2pp4/4PP2/1PNQ4/P1PP2PP/R1B1K1NR b KQk - 1 10,72
1rb1kb1r/p3qnpp/p3pp2/2pp4/4PP2/1PNQ4/P1PP2PP/R1B1K1NR w KQk - 2 11,21
1rb1kb1r/p3qnpp/p3pp2/2pp4/4PP2/1PNQ1N2/P1PP2PP/R1B1K2R b KQk - 3 11,19
1rb1kb1r/p3qnpp/4pp2/p1pp4/4PP2/1PNQ1N2/P1PP2PP/R1B1K2R w KQk - 0 12,201
1rb1kb1r/p3qnpp/4pp2/p1pp4/4PP2/BPNQ1N2/P1PP2PP/R3K2R b KQk - 1 12,23
1rb1kb1r/p1q2npp/4pp2/p1pp4/4PP2/BPNQ1N2/P1PP2PP/R3K2R w KQk - 2 13,-20
1rb1kb1r/p1q2npp/4pp2/p1pP4/5P2/BPNQ1N2/P1PP2PP/R3K2R b KQk - 0 13,63
1rb1kb1r/p4npp/4pp2/p1pP4/5q2/BPNQ1N2/P1PP2PP/R3K2R w KQk - 0 14,190
1rb1kb1r/p4npp/4pp2/p1pP4/5q2/BPN2N2/P1PPQ1PP/R3K2R b KQk - 1 14,-174
1rb1kb1r/p5pp/4pp2/p1pPn3/5q2/BPN2N2/P1PPQ1PP/R3K2R w KQk - 2 15,167
1rb1kb1r/p5pp/4pp2/p1pPn3/5q2/BPNP1N2/P1P1Q1PP/R3K2R b KQk - 0 15,-4
1rb1kb1r/p5pp/4pp2/p1pP4/5q2/BPNP1P2/P1P1Q2P/R3K2R b KQk - 0 16,0
1rb1kb1r/p5pp/4pp2/p1pPq3/8/BPNP1P2/P1P1Q2P/R3K2R w KQk - 1 17,154
1rb1kb1r/p5pp/4pp2/p1pPQ3/8/BPNP1P2/P1P4P/R3K2R b KQk - 0 17,-157
1rb1kb1r/p5pp/4p3/p1pPp3/8/BPNP1P2/P1P4P/R3K2R w KQk - 0 18,168
1rb1kb1r/p5pp/4P3/p1p1p3/8/BPNP1P2/P1P4P/R3K2R b KQk - 0 18,-164
1rb1kb1r/p5pp/4P3/p1p5/4p3/BPNP1P2/P1P4P/R3K2R w KQk - 0 19,296
1rb1kb1r/p5pp/4P3/p1p5/4N3/BP1P1P2/P1P4P/R3K2R b KQk - 0 19,-334
1r2kb1r/pb4pp/4P3/p1p5/4N3/BP1P1P2/P1P4P/R3K2R w KQk - 1 20,355
1r2kb1r/pb4pp/4P3/p1p5/4N3/BP1P1P2/P1P4P/R4RK1 b k - 2 20,-327
1r2kb1r/p5pp/4P3/p1p5/4b3/BP1P1P2/P1P4P/R4RK1 w k - 0 21,372
1r2kb1r/p5pp/4P3/p1p5/4P3/BP1P4/P1P4P/R4RK1 b k - 0 21,-353
4kb1r/p5pp/1r2P3/p1p5/4P3/BP1P4/P1P4P/R4RK1 w k - 1 22,394
4kb1r/p4Rpp/1r2P3/p1p5/4P3/BP1P4/P1P4P/R5K1 b k - 2 22,-330
4kb1r/5Rpp/pr2P3/p1p5/4P3/BP1P4/P1P4P/R5K1 w k - 0 23,459
4kb1r/5Rpp/pr2P3/p1p5/4P3/BP1P4/P1P3KP/R7 b k - 1 23,-335
4kb1r/5Rpp/p3r3/p1p5/4P3/BP1P4/P1P3KP/R7 w k - 0 24,385
4kb1r/5Rpp/p3r3/p1p5/4P3/BP1P3K/P1P4P/R7 b k - 1 24,478
5b1r/5kpp/p3r3/p1p5/4P3/BP1P3K/P1P4P/R7 w - - 0 25,-466
5b1r/5kpp/p3r3/p1p5/4P3/1P1P3K/P1P4P/R1B5 b - - 1 25,511
